log2FC	gene_length_kb
6158	0.132303528363904	0.59
6163	0.186370095044441	0.594
6164	0.410928930954574	0.594
6165	-0.0969709869335739	0.596
6167	0.513839101429004	0.597
6173	0.339843535992427	0.602
6175	-0.328890015586837	0.603
6176	-0.155140252104935	0.603
6177	0.360334178677854	0.603
6181	-0.219797123070551	0.605
6182	0.533302831525571	0.605
6183	0.768951111376298	0.606
6186	0.763325131441979	0.607
6190	0.362538121821077	0.61
6194	-0.0254464165968416	0.612
6195	0.0649070528560286	0.613
6196	-0.0637101654308474	0.613
6198	-0.268699140187145	0.614
6199	0.0664306115609598	0.614
6200	0.526989133383873	0.614
6202	0.826253281577035	0.618
6203	1.01182473589048	0.619
6205	-0.801025258148177	0.62
6206	-0.462894625419193	0.623
6207	0.709484624086631	0.625
6209	-0.323493335661322	0.629
6213	0.380744919842093	0.632
6216	-0.920631499504505	0.633
6219	0.913233459228152	0.635
6224	0.625445751533191	0.641
6225	0.774023980655012	0.642
6230	-0.0635879718338669	0.653
6232	0.0785244281516353	0.655
6236	0.0559108568887176	0.658
6238	-0.501033538654145	0.659
6239	0.0559108568887176	0.661
6242	0.176601404817043	0.663
6250	0.145853188188176	0.671
6251	0.244800426577323	0.671
6253	-0.795368115793578	0.673
6254	0.0559108568887176	0.675
6259	-0.0254464165968416	0.683
6261	-0.461172834649349	0.685
6264	0.772980592509241	0.688
6265	0.480682312839874	0.689
6270	0.477788497248492	0.693
6271	0.831994344616943	0.693
6273	0.992099652262949	0.696
6274	0.146032022982581	0.697
6281	-0.0742594669396823	0.701
6282	0.0464248936704451	0.703
6283	-0.0812385102437741	0.703
6286	-0.459970803982231	0.708
6289	0.0147304369293775	0.712
6302	0.462664607018148	0.725
6303	-0.407574332001348	0.725
6304	0.586397008294363	0.727
6311	0.73972791800858	0.733
6312	0.0378964495698366	0.735
6313	0.376224608953784	0.742
6314	0.141882516654101	0.744
6315	-0.0937758176351614	0.744
6318	0.330560168526311	0.745
6320	-0.0257368363200769	0.746
6322	0.297220647462678	0.746
6323	0.106787210646419	0.747
6324	0.18612250028175	0.747
6325	0.0760241809174501	0.747
6327	0.565528689887258	0.749
6332	0.0251876586095821	0.754
6335	-0.017983505377936	0.755
6340	0.0811305884212787	0.76
6347	0.0634598853633118	0.766
6348	1.1789784329936	0.767
6350	0.151424058237317	0.768
6353	0.194361525952403	0.769
6357	-0.388815474936229	0.772
6358	0.0649070528560286	0.773
6359	-0.410830189002659	0.776
6363	0.77350881080464	0.78
6365	0.513729263567401	0.782
6366	0.382538562803035	0.782
6370	0.154535919347866	0.787
6375	0.0441378608245163	0.791
6376	-0.0316585201349163	0.793
6379	0.399601025336381	0.796
